,coeff,pvals,conf_lower,conf_higher
Intercept,-0.08614652343191381,0.0005944758528279755,-0.1353086255672038,-0.03698442129662382
C(h1n1_vaccine)[T.1],0.31879113642950957,0.0,0.3045428123776035,0.33303946048141564
C(h1n1_concern)[T.1.0],0.007654491797527205,0.41033007569151114,-0.010568316216595307,0.02587729981164972
C(h1n1_concern)[T.2.0],0.0198777125556854,0.041955563165948395,0.0007232276550552565,0.039032197456315545
C(h1n1_concern)[T.3.0],0.00854947859525915,0.4588387544795397,-0.014072281944890692,0.031171239135408993
C(h1n1_knowledge)[T.1.0],0.027516815474586835,0.007539354935355074,0.007333698784936529,0.04769993216423714
C(h1n1_knowledge)[T.2.0],0.05605515096047209,3.896610741366765e-07,0.034407585848422434,0.07770271607252174
C(behavioral_antiviral_meds)[T.1.0],0.0025291747129489797,0.8372280394070846,-0.02160097169165833,0.02665932111755629
C(behavioral_avoidance)[T.1.0],-0.0031466936703996003,0.6293687413820451,-0.01592635197426139,0.00963296463346219
C(behavioral_face_mask)[T.1.0],0.0035576418767542415,0.7387793332194097,-0.017353213741087205,0.02446849749459569
C(behavioral_wash_hands)[T.1.0],0.007542188366521927,0.33690549855608565,-0.007851908381006798,0.02293628511405065
C(behavioral_large_gatherings)[T.1.0],0.0048646114146161535,0.4751749519759343,-0.008487909551835244,0.01821713238106755
C(behavioral_outside_home)[T.1.0],-0.0068191623529450076,0.32679851843808194,-0.020449581326011518,0.0068112566201215035
C(behavioral_touch_face)[T.1.0],0.02839586001235691,6.9144928564355875e-06,0.016020272220152565,0.04077144780456125
C(doctor_recc_h1n1)[T.1.0],-0.15522486040488842,7.684737952181505e-77,-0.17155882760241145,-0.1388908932073654
C(doctor_recc_seasonal)[T.1.0],0.26727594483511025,4.4068083639063917e-299,0.25332490623684967,0.2812269834333708
C(chronic_med_condition)[T.1.0],0.03231885440718277,8.322842030741172e-08,0.020504327982836867,0.044133380831528665
C(child_under_6_months)[T.1.0],0.009961815570238702,0.29217274213814776,-0.008574372427181155,0.02849800356765856
C(health_worker)[T.1.0],0.09942428012086299,9.290831138461598e-32,0.0828324450820917,0.11601611515963428
C(opinion_h1n1_vacc_effective)[T.2.0],-0.002135323023716401,0.9086103697779921,-0.038595682541545814,0.03432503649411302
C(opinion_h1n1_vacc_effective)[T.3.0],0.02041613129070406,0.24994041155622096,-0.014365479098349659,0.05519774167975777
C(opinion_h1n1_vacc_effective)[T.4.0],-0.0006478558213368008,0.9695800662229599,-0.03394616198563845,0.03265045034296485
C(opinion_h1n1_vacc_effective)[T.5.0],-0.045812417941592104,0.009205143782831592,-0.0802885862406198,-0.011336249642564411
C(opinion_h1n1_risk)[T.2.0],0.0022159019140421178,0.7566604902080202,-0.011800579409508884,0.01623238323759312
C(opinion_h1n1_risk)[T.3.0],0.0038320915116247583,0.8180457901134337,-0.02881641324702592,0.03648059627027544
C(opinion_h1n1_risk)[T.4.0],-0.020454821508447872,0.027228869702061596,-0.03860981455202724,-0.0022998284648685016
C(opinion_h1n1_risk)[T.5.0],-0.08720775642573095,7.531096555854118e-11,-0.11345304955181071,-0.060962463299651194
C(opinion_h1n1_sick_from_vacc)[T.2.0],0.02738664149998997,0.00010348749121603021,0.013562264524326737,0.0412110184756532
C(opinion_h1n1_sick_from_vacc)[T.3.0],-0.005018133303126733,0.9100650349715231,-0.09209406051390012,0.08205779390764664
C(opinion_h1n1_sick_from_vacc)[T.4.0],-0.005895021411704107,0.4756952880548089,-0.022094926165232245,0.01030488334182403
C(opinion_h1n1_sick_from_vacc)[T.5.0],-0.026753368497251698,0.02662241073585297,-0.050404589456600285,-0.003102147537903107
C(opinion_seas_vacc_effective)[T.2.0],-0.050553085315410855,0.0019007996480450804,-0.08245831921363085,-0.018647851417190858
C(opinion_seas_vacc_effective)[T.3.0],0.004822525733522695,0.8072907819348873,-0.033929061444736355,0.043574112911781746
C(opinion_seas_vacc_effective)[T.4.0],0.06844891363710066,3.1544295130419654e-06,0.039668763568864306,0.09722906370533702
C(opinion_seas_vacc_effective)[T.5.0],0.23632370076620826,1.5118415024215132e-54,0.20662442812988085,0.26602297340253567
C(opinion_seas_risk)[T.2.0],0.10688853006974339,8.711631133824053e-42,0.09145136774008511,0.12232569239940166
C(opinion_seas_risk)[T.3.0],0.2373205640403035,4.22239882576462e-28,0.1950572941773786,0.2795838339032284
C(opinion_seas_risk)[T.4.0],0.2783523619037558,9.69729043495345e-211,0.26093575611642544,0.2957689676910861
C(opinion_seas_risk)[T.5.0],0.3557549761317403,1.3498267649227563e-204,0.3331527327588924,0.37835721950458817
C(opinion_seas_sick_from_vacc)[T.2.0],-0.06018503330284878,1.1419518596864582e-18,-0.07354749518397022,-0.04682257142172734
C(opinion_seas_sick_from_vacc)[T.3.0],-0.2696995739087917,3.321713265706124e-07,-0.37323493424998955,-0.1661642135675938
C(opinion_seas_sick_from_vacc)[T.4.0],-0.07165807613840558,2.457631289719382e-19,-0.08726574449127253,-0.05605040778553864
C(opinion_seas_sick_from_vacc)[T.5.0],-0.11276337551980521,2.7733889451880315e-19,-0.13736052337714288,-0.08816622766246753
C(age_group)[T.35 - 44 Years],0.04044693373182934,1.2478217692155143e-05,0.02230558298333738,0.058588284480321294
C(age_group)[T.45 - 54 Years],0.07318421604368527,1.871190283276879e-17,0.05632538195762911,0.09004305012974144
C(age_group)[T.55 - 64 Years],0.1156216940904236,6.130001697667855e-37,0.09780631005224297,0.13343707812860423
C(age_group)[T.65+ Years],0.24738063405830538,7.457680327430417e-147,0.2287352139623294,0.2660260541542813
C(education)[T.< 12 Years],-0.02912577576740614,0.00537110677139588,-0.049630496963612755,-0.008621054571199528
C(education)[T.College Graduate],0.03601928298676839,6.34102583546656e-07,0.021848199771657487,0.05019036620187929
C(education)[T.Some College],0.013085256205857727,0.07535718911128912,-0.001336977737218737,0.02750749014893419
C(race)[T.Hispanic],0.011190414946033775,0.43040094642273874,-0.016626276713092122,0.03900710660515967
C(race)[T.Other or Multiple],0.06115075365133613,2.68481282006408e-05,0.03260977191741499,0.08969173538525728
C(race)[T.White],0.039588806544701205,0.00016129578563094853,0.019026028432037295,0.060151584657365115
C(sex)[T.Male],-0.0054039229443851805,0.3238655750574162,-0.0161402191478683,0.00533237325909794
C(rent_or_own)[T.Rent],-0.03151601961308232,2.8606568679125915e-06,-0.04471042413942079,-0.018321615086743848
C(hhs_geo_region)[T.bhuqouqj],-0.037845486171176064,0.0018556713191632483,-0.06167616193360316,-0.014014810408748968
C(hhs_geo_region)[T.dqpwygqj],-0.05072123933847915,0.0012879013374973492,-0.08160499166004481,-0.01983748701691349
C(hhs_geo_region)[T.fpwskwrf],-0.012320602405331019,0.3027896538335935,-0.03575526689184108,0.011114062081179044
C(hhs_geo_region)[T.kbazzjca],-0.006231386234086662,0.6097426907665608,-0.030159322632984348,0.017696550164811024
C(hhs_geo_region)[T.lrircsnp],-0.057506486341447366,1.0843562162902964e-05,-0.08312013359592793,-0.03189283908696681
C(hhs_geo_region)[T.lzgpxyit],-0.027499254821277495,0.015417174862086899,-0.049748127537240026,-0.005250382105314963
C(hhs_geo_region)[T.mlyzmhmf],-0.03916673206467499,0.0026873998870601363,-0.06474172829602148,-0.0135917358333285
C(hhs_geo_region)[T.oxchjgsf],-0.019326172667518727,0.1095973703341618,-0.043000566472349414,0.004348221137311963
C(hhs_geo_region)[T.qufhixun],-0.03201887084087751,0.0070526780399592206,-0.055309627603460226,-0.008728114078294793
"C(census_msa)[T.MSA, Principle City]",-0.0043295227474345055,0.49368511027296835,-0.01672768257599639,0.008068637081127377
C(census_msa)[T.Non-MSA],-0.026823329845366756,3.628521360369204e-05,-0.03955105455052813,-0.014095605140205377
C(household_adults)[T.1.0],0.008683639163447261,0.16318030005502698,-0.0035218408655211496,0.02088911919241567
C(household_adults)[T.2.0],-0.009584788233420568,0.3132459825873625,-0.028214110539292868,0.009044534072451732
C(household_adults)[T.3.0],-0.000253552880793189,0.985101488442338,-0.02686740429662404,0.02636029853503766
C(household_children)[T.1.0],-0.009629059584847685,0.2659494995539104,-0.026594642662593503,0.007336523492898135
C(household_children)[T.2.0],-0.0014549662812709842,0.8766463421879677,-0.019827409176542136,0.016917476614000167
C(household_children)[T.3.0],-0.007311637840969863,0.52502376587137,-0.029858284677214138,0.015235008995274413
